subject,body,category,subcategory
Printer not responding,Users reporting connectivity problems since 11:58 AM. 44 users affected. Production environment impacted.,ticket,incident
Payment received,"System Notification: Action completed successfully. This is an automated alert. For assistance, please contact support@service.com",non-ticket,noreply
Reminder: Approval Required due soon,"Security Alert: We detected a new login to your account from London, Safari at 06:25. If this was not you, please secure your account.",non-ticket,notification
Backup completed successfully,Notification: Your password will expire in 22 days. Please update your password before 2026-02-14.,non-ticket,notification
"You have won $1,000,000!!!",Urgent: Your PayPal has been suspended. Click this link to verify your information within 24 hours or lose access.,non-ticket,spam
Check out our latest Sports,Don't miss our Black Friday! Special discounts on Sports. Use promo code 752960 at checkout. Ends 2026-02-14.,non-ticket,marketing
Certificate renewal request,Configuration change request for File Server. Change window: 2026-03-08. Rollback procedure documented.,ticket,change
Password Reset Request,I need to reset my password for CRM. Username: user488. Please send reset link.,ticket,request
Email server down,The Mobile App has crashed. Error message: 500 Internal Server Error. This is blocking payroll. High priority.,ticket,incident
Application access for new employee,Requesting permission to access \\share\Support\Projects. Business justification: team collaboration. Manager approval attached.,ticket,request
Backup completed successfully,"Security Alert: We detected a new login to your account from Paris, Safari at 06:25. If this was not you, please secure your account.",non-ticket,notification
Document shared with you,Reminder: Document Review is due on 2026-02-14. Please complete this action to avoid account suspension.,non-ticket,notification
Authentication Code,Your OTP for Company Portal is 961589. This is an automated message. Please do not reply.,non-ticket,otp
Confirm your identity: 821404,Your one-time password is: 821404. This code will expire in 14 minutes. Do not share this code with anyone.,non-ticket,otp
Application access for new employee,"Request for new user account. Name: David Williams, Department: Engineering, Start Date: 2026-02-27. Please create with standard permissions.",ticket,request
Trend analysis request,"Root cause analysis request for connectivity problems. Related incidents: INC17051, INC38172. Common factor: network latency. Investigation priority: High.",ticket,problem
Login Verification Code,498715 is your authentication code. Enter this code to verify your identity. Code expires at 06:18.,non-ticket,otp
Need RCA for recurring outages,We have observed a recurring pattern with system freeze. This has occurred 47 times in the past week. Root cause analysis needed.,ticket,problem
Frequent failures in Database Server,Problem record created: Intermittent system freeze. Unable to reproduce consistently. Logs show Monday morning. Need deep dive analysis.,ticket,problem
Shared drive access needed,Can you please install Adobe Creative Suite on my workstation? I need it for Project Beta. Computer ID: PC-6374.,ticket,request
Load balancer configuration change,Change request to deploy v2.2.1 to production. All tests passed. Deployment plan attached. Requesting CAB approval.,ticket,change
Application crash on Linux,Critical incident reported: file upload. Service is currently down. Multiple users affected. Need urgent resolution.,ticket,incident
Email server down,Critical incident reported: file upload. Service is currently down. Multiple users affected. Need urgent resolution.,ticket,incident
Exclusive Deal Just for You,Exclusive offer for our subscribers! Exclusive member benefits. Limited time only. Click here to browse our collection.,non-ticket,marketing
VPN connection issues,Incident #: performance degradation - urgent resolution needed. Status: Critical. Multiple departments affected.,ticket,incident
File server inaccessible,Emergency: Database is not responding. Getting error: 500 Internal Server Error. Business operations halted.,ticket,incident
VPN connection issues,We are experiencing system freeze. Users are unable to make payments. This is affecting production environment. Please investigate immediately.,ticket,incident
Request for JIRA license,"Hello, I need access to database. My role is Coordinator and I require this for analysis. Please process this request.",ticket,request
Login Verification Code,Your OTP for Email Account is 019886. This is an automated message. Please do not reply.,non-ticket,otp
Problem management: authentication failures,Pattern identified: File Server fails every during peak hours. 27 incidents logged. Problem management process initiated.,ticket,problem
Problem Ticket: immediate attention required,Problem ticket created to investigate data corruption. Frequency: daily. Impact: all users. Need permanent solution.,ticket,problem
Login failed for multiple users,Emergency: Backup Service is not responding. Getting error: Null Pointer Exception. Business operations halted.,ticket,incident
Problem: Reporting Service intermittent failures,"Multiple incidents logged for load balancer: INC95452, INC56426, INC63680. Underlying problem suspected. Please investigate.",ticket,problem
Root Cause Analysis Required,Pattern identified: VPN fails every after midnight. 44 incidents logged. Problem management process initiated.,ticket,problem
Login failed for multiple users,We are experiencing authentication failure. Users are unable to make payments. This is affecting production environment. Please investigate immediately.,ticket,incident
Distribution list creation,"Hello, I need access to VPN. My role is Director and I require this for daily tasks. Please process this request.",ticket,request
Pattern identified: during backups,"Multiple incidents logged for web server: INC51704, INC76471, INC66003. Underlying problem suspected. Please investigate.",ticket,problem
Confirm your identity: 264473,264473 is your authentication code. Enter this code to verify your identity. Code expires at 06:25.,non-ticket,otp
Critical: timeout errors not working,Production database throwing errors. Queries timing out. Application performance severely degraded.,ticket,incident
Change Request for Development,Requesting change to update cache from version v2.1 to v5.4. Risk assessment completed.,ticket,change
Act now! Limited spots available,Urgent: Your bank has been suspended. Click this link to verify your information within 24 hours or lose access.,non-ticket,spam
Chronic performance degradation,Problem record created: Intermittent performance degradation. Unable to reproduce consistently. Logs show during backups. Need deep dive analysis.,ticket,problem
Reminder: Training Completion due soon,Your statement is ready. Reference number: REF491476. You can access it through your account dashboard.,non-ticket,notification
Problem Ticket: critical issue,Systematic investigation required for report generation. Temporary workarounds are not sustainable. RCA needed urgently.,ticket,problem
New email account setup,"New employee onboarding - please set up: email account, network access, AutoCAD. Start date: 2026-02-23.",ticket,request
Limited Time Offer,Don't miss our Clearance Event! Special discounts on Sports. Use promo code 944568 at checkout. Ends 2026-02-14.,non-ticket,marketing
CR#88319: critical issue,Requesting change to update database from version v2.2 to v4.0. Risk assessment completed.,ticket,change
VPN connection issues,Incident #: system freeze - urgent resolution needed. Status: Critical. Multiple departments affected.,ticket,incident
Security alert: New login detected,Notification: Your password will expire in 29 days. Please update your password before 2026-02-14.,non-ticket,notification
Deployment request for Mobile App,Database migration scheduled for 2026-02-24. Backup completed. Migration scripts tested. Expected duration: 1 hours.,ticket,change
Payment gateway failure,Users reporting timeout errors since 5:26 PM. 28 users affected. Production environment impacted.,ticket,incident
VPN access request,"Request for new user account. Name: Lisa Smith, Department: Marketing, Start Date: 2026-03-07. Please create with standard permissions.",ticket,request
Request: software license needed,I need to reset my password for Email System. Username: user475. Please send reset link.,ticket,request
Don't Miss Out: Early Access,"Dear valued customer, enjoy 26% off on new arrivals. Use code: 126763. Offer valid until 2026-02-14. Shop now!",non-ticket,marketing
Printer access request,I need VPN access to work remotely. Please configure my account and send setup instructions.,ticket,request
Pattern identified: during backups,Problem ticket created to investigate connectivity problems. Frequency: daily. Impact: all users. Need permanent solution.,ticket,problem
Don't Miss Out: Early Access,"Dear valued customer, enjoy 19% off on new arrivals. Use code: 246156. Offer valid until 2026-02-14. Shop now!",non-ticket,marketing
System maintenance scheduled,Notification: Your password will expire in 15 days. Please update your password before 2026-02-14.,non-ticket,notification
Payment received,This is an automated message from Company Portal. Your update has been processed. Reference: REF440001. Do not reply to this email.,non-ticket,noreply
Configuration change needed,Scheduled maintenance window for File Server on 2026-02-17 from 12:00 PM to 10:00 PM. Impact: all users. Stakeholders notified.,ticket,change
Backup completed successfully,Your invoice is ready. Reference number: REF781528. You can access it through your account dashboard.,non-ticket,notification
Production Issue - application server,Critical incident reported: data sync. Service is currently down. Multiple users affected. Need urgent resolution.,ticket,incident
Urgent: Your account needs verification,Your package from UPS could not be delivered. Click to reschedule delivery and confirm your address.,non-ticket,spam
Status update: Completed,This is a system-generated email regarding system event. Please do not respond to this message. Contact support@service.com for support.,non-ticket,noreply
Your order has been confirmed,"System Notification: Your request has been processed. This is an automated alert. For assistance, please contact support@portal.com",non-ticket,noreply
Password expiration notice,"Security Alert: We detected a new login to your account from Tokyo, Safari at 06:27. If this was not you, please secure your account.",non-ticket,notification
Investigation: API Gateway stability issues,Chronic issue with cache. Performance degradation noticed over week. Trend analysis shows memory leaks.,ticket,problem
Your Email Account verification code,"Verification code: 746788

Use this code to complete your login. Valid for 9 minutes.",non-ticket,otp
Password expiration notice,System maintenance is scheduled for 2026-02-14 from 9:00 AM to 2:00 AM. Services may be temporarily unavailable.,non-ticket,notification
Problem record: critical issue,"Root cause analysis request for data corruption. Related incidents: INC74950, INC38340. Common factor: network latency. Investigation priority: High.",ticket,problem
Chronic performance degradation,We have observed a recurring pattern with system freeze. This has occurred 12 times in the past week. Root cause analysis needed.,ticket,problem
Server crash - APP-SRV-03,The API Gateway has crashed. Error message: 404 Not Found. This is blocking order processing. High priority.,ticket,incident
Application crash on Web,System outage detected at 6:29 AM. application server is down. Customers cannot access portal.,ticket,incident
Account activity alert,This is an automated message from Banking Portal. Your registration has been processed. Reference: REF847108. Do not reply to this email.,non-ticket,noreply
Delivery confirmation,This is an automated message from Banking Portal. Your order has been processed. Reference: REF387455. Do not reply to this email.,non-ticket,noreply
Meeting invitation: Project Review,Reminder: Document Review is due on 2026-02-14. Please complete this action to avoid service interruption.,non-ticket,notification
Request for JIRA installation,"Request for new user account. Name: Emily Johnson, Department: Engineering, Start Date: 2026-02-23. Please create with standard permissions.",ticket,request
Account notification,This is a system-generated email regarding system event. Please do not respond to this message. Contact support@help.com for support.,non-ticket,noreply
New Products Available,Exclusive offer for our subscribers! Exclusive member benefits. Limited time only. Click here to browse our collection.,non-ticket,marketing
Password Reset Request,I need VPN access to work remotely. Please configure my account and send setup instructions.,ticket,request
Scheduled Maintenance - Web Portal,"Change Request Details:
Change: application deployment
Scheduled Date: 2026-03-10
Downtime Expected: 4 hours
Backout Plan: Restore from backup
Approvals Required: Manager, CAB",ticket,change
Scheduled Maintenance - Web Portal,Configuration change request for Web Portal. Change window: 2026-03-11. Rollback procedure documented.,ticket,change
Security Code for Email Account,901566 is your authentication code. Enter this code to verify your identity. Code expires at 06:22.,non-ticket,otp
Login Verification Code,"Verification code: 640974

Use this code to complete your login. Valid for 9 minutes.",non-ticket,otp
DNS record update needed,Database migration scheduled for 2026-02-22. Backup completed. Migration scripts tested. Expected duration: 2 hours.,ticket,change
Conference room booking system access,"Hello, I need access to VPN. My role is Developer and I require this for daily tasks. Please process this request.",ticket,request
Make money from home,Make $91 per day working from home! No experience needed. Limited positions available. Apply now!,non-ticket,spam
Act now! Limited spots available,"CONGRATULATIONS! You have been selected to receive $1,000,000. Click here immediately to claim your reward. Act fast!",non-ticket,spam
Don't Miss Out: Early Access,"Dear valued customer, enjoy 21% off on clearance items. Use code: 277853. Offer valid until 2026-02-14. Shop now!",non-ticket,marketing
Request: Increase storage quota,I need to reset my password for Email System. Username: user974. Please send reset link.,ticket,request
New email account setup,Requesting permission to access \\share\Finance\Reports. Business justification: team collaboration. Manager approval attached.,ticket,request
Pattern analysis needed for connectivity problems,Problem record created: Intermittent connectivity problems. Unable to reproduce consistently. Logs show Monday morning. Need deep dive analysis.,ticket,problem
Email alias creation request,"Request for new user account. Name: David Smith, Department: Engineering, Start Date: 2026-02-22. Please create with standard permissions.",ticket,request
Critical bug in checkout,Users reporting system freeze since 7:46 AM. 97 users affected. Production environment impacted.,ticket,incident
Recurring error: ERR-404,Problem ticket created to investigate timeout errors. Frequency: intermittently. Impact: all users. Need permanent solution.,ticket,problem
Congratulations! You are a winner,Make $59 per day working from home! No experience needed. Limited positions available. Apply now!,non-ticket,spam
Need RCA for recurring outages,"Multiple incidents logged for web server: INC12166, INC87455, INC48451. Underlying problem suspected. Please investigate.",ticket,problem
Special Offer: 41% Off,Don't miss our Clearance Event! Special discounts on Home & Garden. Use promo code 092026 at checkout. Ends 2026-02-14.,non-ticket,marketing
Delivery confirmation,This is a system-generated email regarding status update. Please do not respond to this message. Contact support@company.com for support.,non-ticket,noreply
CR#14913: immediate attention required,Change request to deploy v1.2.9 to production. All tests passed. Deployment plan attached. Requesting CAB approval.,ticket,change
Shared drive access needed,I need VPN access to work remotely. Please configure my account and send setup instructions.,ticket,request
Critical: system freeze not working,Critical incident reported: file upload. Service is currently down. Multiple users affected. Need urgent resolution.,ticket,incident
Problem record: urgent resolution needed,"Root cause analysis request for authentication failure. Related incidents: INC62023, INC42010. Common factor: high load. Investigation priority: High.",ticket,problem
File server inaccessible,Critical incident reported: report generation. Service is currently down. Multiple users affected. Need urgent resolution.,ticket,incident
System Down - Payment Gateway,Production database throwing errors. Queries timing out. Application performance severely degraded.,ticket,incident
Critical bug in checkout,Emergency: API is not responding. Getting error: Service Unavailable. Business operations halted.,ticket,incident
Request for Python license,"Hello, I need access to application. My role is Developer and I require this for client deliverables. Please process this request.",ticket,request
Subscription renewed,This is an automated message from Banking Portal. Your registration has been processed. Reference: REF481387. Do not reply to this email.,non-ticket,noreply
Change Request: security patch,Requesting change to update database from version v3.8 to v5.0. Risk assessment completed.,ticket,change
Recurring issue - data sync,Chronic issue with load balancer. Performance degradation noticed over 3 days. Trend analysis shows memory leaks.,ticket,problem
Request: laptop needed,Please provide me with laptop. This is needed for client deliverables by 2026-02-22.,ticket,request
Confirm your identity: 949386,Your one-time password is: 949386. This code will expire in 13 minutes. Do not share this code with anyone.,non-ticket,otp
Vendor access request,"Request for new user account. Name: John Smith, Department: HR, Start Date: 2026-03-03. Please create with standard permissions.",ticket,request
CR#91049: immediate attention required,Requesting change to update load balancer from version v2.5 to v4.7. Risk assessment completed.,ticket,change
Need RCA for recurring outages,Systematic investigation required for report generation. Temporary workarounds are not sustainable. RCA needed urgently.,ticket,problem
Invoice available for download,Notification: Your password will expire in 20 days. Please update your password before 2026-02-14.,non-ticket,notification
Document shared with you,Notification: Your password will expire in 28 days. Please update your password before 2026-02-14.,non-ticket,notification
Multiple incidents related to application server,Problem ticket created to investigate data corruption. Frequency: daily. Impact: critical business operations. Need permanent solution.,ticket,problem
Request for SAP installation,"New employee onboarding - please set up: email account, network access, SAP. Start date: 2026-02-23.",ticket,request
Software License Request,I need VPN access to work remotely. Please configure my account and send setup instructions.,ticket,request
Network configuration change,Requesting approval for server upgrade. Environment: Production. Risk Level: High. Testing completed in UAT.,ticket,change
Scheduled Maintenance - API Gateway,"Change Request Details:
Change: configuration update
Scheduled Date: 2026-03-09
Downtime Expected: 1 hours
Backout Plan: Restore from backup
Approvals Required: Manager, CAB",ticket,change
New email account setup,I need to reset my password for Web Portal. Username: user549. Please send reset link.,ticket,request
Change Request: server upgrade,Scheduled maintenance window for SAP on 2026-02-18 from 11:00 AM to 3:00 AM. Impact: production environment. Stakeholders notified.,ticket,change
Change: Security patch deployment,Scheduled maintenance window for Salesforce on 2026-02-26 from 4:00 PM to 10:00 PM. Impact: customer transactions. Stakeholders notified.,ticket,change
Frequent failures in Email System,"Root cause analysis request for timeout errors. Related incidents: INC34386, INC59369. Common factor: disk I/O. Investigation priority: High.",ticket,problem
URGENT: email delivery affecting users,We are experiencing system freeze. Users are unable to submit forms. This is affecting production environment. Please investigate immediately.,ticket,incident
Pattern identified: after midnight,"Multiple incidents logged for database: INC64302, INC12122, INC98451. Underlying problem suspected. Please investigate.",ticket,problem
File server inaccessible,The Email System has crashed. Error message: 500 Internal Server Error. This is blocking customer onboarding. High priority.,ticket,incident
One-Time Password,Your one-time password is: 318115. This code will expire in 9 minutes. Do not share this code with anyone.,non-ticket,otp
Subscriber exclusive: Early Access,Exclusive offer for our subscribers! Limited time promotion. Limited time only. Click here to browse our collection.,non-ticket,marketing
Account notification,Your update was successful. Transaction ID: TXN981704. This mailbox is not monitored. Please do not reply.,non-ticket,noreply
New User Account Creation,I need to reset my password for File Server. Username: user317. Please send reset link.,ticket,request
Update your payment information immediately,Urgent: Your email has been suspended. Click this link to verify your information within 24 hours or lose access.,non-ticket,spam
Database schema update request,Requesting change to update application server from version v1.8 to v5.0. Risk assessment completed.,ticket,change
Your package could not be delivered,You have 1 messages waiting. Click here to view. Verification required. Do not ignore this message.,non-ticket,spam
Payment received,"Automated notification: Clearance Event occurred on 2026-02-14. For questions, visit our help center. Do not reply to this email.",non-ticket,noreply
VPN access request,"New employee onboarding - please set up: email account, network access, Zoom. Start date: 2026-02-27.",ticket,request
Security Code for Banking Portal,Your one-time password is: 559268. This code will expire in 15 minutes. Do not share this code with anyone.,non-ticket,otp
New email account setup,"New employee onboarding - please set up: email account, network access, Python. Start date: 2026-03-14.",ticket,request
New Products Available,Don't miss our Black Friday! Special discounts on Electronics. Use promo code 270399 at checkout. Ends 2026-02-14.,non-ticket,marketing
Application access for new employee,Please provide me with laptop. This is needed for project work by 2026-02-25.,ticket,request
Root cause unknown for email delivery,"Multiple incidents logged for load balancer: INC87992, INC45463, INC57423. Underlying problem suspected. Please investigate.",ticket,problem
Limited Time Offer,"Newsletter: account activity. This month features: Feature Article, Product Updates, Customer Stories. Read more on our website.",non-ticket,marketing
Change: Security patch deployment,Configuration change request for ERP. Change window: 2026-02-22. Rollback procedure documented.,ticket,change
System notification,This is an automated message from Email Account. Your update has been processed. Reference: REF498968. Do not reply to this email.,non-ticket,noreply
Printer access request,"Request for new user account. Name: Sarah Jones, Department: HR, Start Date: 2026-03-11. Please create with standard permissions.",ticket,request
Problem Ticket: immediate attention required,Chronic issue with load balancer. Performance degradation noticed over month. Trend analysis shows memory leaks.,ticket,problem
Recurring error: ERR-1001,We have observed a recurring pattern with timeout errors. This has occurred 66 times in the past 3 days. Root cause analysis needed.,ticket,problem
New Products Available,"Dear valued customer, enjoy 27% off on clearance items. Use code: 131297. Offer valid until 2026-02-14. Shop now!",non-ticket,marketing
Need RCA for recurring outages,Pattern identified: File Server fails every after midnight. 55 incidents logged. Problem management process initiated.,ticket,problem
Meeting invitation: Client Meeting,"Security Alert: We detected a new login to your account from Tokyo, Chrome at 06:19. If this was not you, please secure your account.",non-ticket,notification
Underlying issue investigation,"Multiple incidents logged for cache: INC12688, INC10235, INC15307. Underlying problem suspected. Please investigate.",ticket,problem
Multiple incidents related to load balancer,"Root cause analysis request for system freeze. Related incidents: INC56086, INC76774. Common factor: memory pressure. Investigation priority: High.",ticket,problem
Permission request for \\share\IT\Documents,Please provide me with software license. This is needed for project work by 2026-02-17.,ticket,request
System maintenance scheduled,Notification: Your password will expire in 23 days. Please update your password before 2026-02-14.,non-ticket,notification
Load balancer configuration change,Configuration change request for ERP. Change window: 2026-02-18. Rollback procedure documented.,ticket,change
Transaction completed,"System Notification: Update available. This is an automated alert. For assistance, please contact support@portal.com",non-ticket,noreply
Sale Alert: Up to 58% off,"Dear valued customer, enjoy 29% off on clearance items. Use code: 071172. Offer valid until 2026-02-14. Shop now!",non-ticket,marketing
Backup completed successfully,Your document is ready. Reference number: REF409442. You can access it through your account dashboard.,non-ticket,notification
Root Cause Analysis Required,Chronic issue with application server. Performance degradation noticed over 2 weeks. Trend analysis shows decreasing performance.,ticket,problem
Your package could not be delivered,Urgent: Your bank has been suspended. Click this link to verify your information within 24 hours or lose access.,non-ticket,spam
Root cause unknown for file upload,Problem record created: Intermittent authentication failure. Unable to reproduce consistently. Logs show during peak hours. Need deep dive analysis.,ticket,problem
Check out our latest Sports,New arrivals: selected categories. Be the first to shop our latest collection. Free shipping on orders over $102.,non-ticket,marketing
Database connection failed,Incident #: timeout errors - immediate attention required. Status: Critical. Multiple departments affected.,ticket,incident
Act now! Limited spots available,Your package from DHL could not be delivered. Click to reschedule delivery and confirm your address.,non-ticket,spam
Network connectivity issue,Emergency: Backup Service is not responding. Getting error: Out of Memory. Business operations halted.,ticket,incident
Claim your prize now,Urgent: Your email has been suspended. Click this link to verify your information within 24 hours or lose access.,non-ticket,spam
Single ladies in your area,Urgent: Your Amazon has been suspended. Click this link to verify your information within 24 hours or lose access.,non-ticket,spam
Act now! Limited spots available,Make $60 per day working from home! No experience needed. Limited positions available. Apply now!,non-ticket,spam
Authentication Code,Your OTP for Company Portal is 078292. This is an automated message. Please do not reply.,non-ticket,otp
Two-Factor Authentication Code,389759 is your authentication code. Enter this code to verify your identity. Code expires at 06:23.,non-ticket,otp
Urgent: Your account needs verification,"CONGRATULATIONS! You have been selected to receive $1,000,000. Click here immediately to claim your reward. Act fast!",non-ticket,spam
Problem Ticket: urgent resolution needed,"Root cause analysis request for data corruption. Related incidents: INC24551, INC21050. Common factor: high load. Investigation priority: High.",ticket,problem
Recurring error: ERR-1001,Pattern identified: SAP fails every Monday morning. 70 incidents logged. Problem management process initiated.,ticket,problem
500 error on /api/users,The Database Server has crashed. Error message: Service Unavailable. This is blocking payroll. High priority.,ticket,incident
Email alias creation request,Requesting permission to access \\share\Sales\Projects. Business justification: required for job function. Manager approval attached.,ticket,request
558497 is your verification code,"Security Alert: Your verification code is 558497. If you did not request this code, please ignore this email.",non-ticket,otp
Confirm your identity: 758032,"Verification code: 758032

Use this code to complete your login. Valid for 12 minutes.",non-ticket,otp
Access Request - shared drive,Please provide me with laptop. This is needed for daily tasks by 2026-02-21.,ticket,request
Service Outage: Reporting Service,The Web Portal has crashed. Error message: 404 Not Found. This is blocking payroll. High priority.,ticket,incident
Root cause unknown for login,Problem record created: Intermittent authentication failure. Unable to reproduce consistently. Logs show during backups. Need deep dive analysis.,ticket,problem
"You have won $1,000,000!!!",Your package from FedEx could not be delivered. Click to reschedule delivery and confirm your address.,non-ticket,spam
Database connection failed,Incident #: data corruption - urgent resolution needed. Status: Critical. Multiple departments affected.,ticket,incident
Application crash on Linux,Incident #: connectivity problems - immediate attention required. Status: Critical. Multiple departments affected.,ticket,incident
Change Request for Staging,Change request to deploy v5.4.3 to production. All tests passed. Deployment plan attached. Requesting CAB approval.,ticket,change
137335 is your verification code,Your one-time password is: 137335. This code will expire in 12 minutes. Do not share this code with anyone.,non-ticket,otp
Pattern identified: during peak hours,"Root cause analysis request for connectivity problems. Related incidents: INC96630, INC89618. Common factor: high load. Investigation priority: High.",ticket,problem
Pattern identified: during peak hours,Chronic issue with web server. Performance degradation noticed over week. Trend analysis shows increasing frequency.,ticket,problem
